,source,destination,value
811,problem,problem,1
812,problem,problem,1
813,problem,problem,1
814,problem,problem,1
815,problem,navigation,1
816,navigation,navigation,1
817,navigation,problem,1
818,problem,problem,1
819,problem,problem,1
820,problem,problem,1
821,problem,problem,1
822,problem,problem,1
823,problem,problem,1
824,problem,problem,1
825,problem,problem,1
826,problem,problem,1
827,problem,problem,1
828,problem,problem,1
829,problem,problem,1
830,problem,problem,1
831,problem,problem,1
832,problem,problem,1
833,problem,navigation,1
834,navigation,navigation,1
835,navigation,problem,1
836,problem,problem,1
837,problem,problem,1
838,problem,problem,1
839,problem,navigation,1
840,navigation,navigation,1
841,navigation,problem,1
842,problem,problem,1
843,problem,problem,1
844,problem,problem,1
845,problem,navigation,1
846,navigation,navigation,1
847,navigation,problem,1
848,problem,problem,1
849,problem,problem,1
850,problem,problem,1
851,problem,problem,1
852,problem,problem,1
853,problem,problem,1
854,problem,problem,1
855,problem,navigation,1
856,navigation,navigation,1
857,navigation,problem,1
858,problem,problem,1
859,problem,problem,1
860,problem,problem,1
861,problem,problem,1
862,problem,problem,1
863,problem,problem,1
864,problem,problem,1
865,problem,problem,1
866,problem,problem,1
867,problem,problem,1
868,problem,problem,1
869,problem,problem,1
870,problem,problem,1
871,problem,problem,1
872,problem,problem,1
873,problem,problem,1
874,problem,problem,1
875,problem,problem,1
876,problem,problem,1
877,problem,problem,1
878,problem,problem,1
879,problem,problem,1
880,problem,problem,1
881,problem,problem,1
882,problem,problem,1
883,problem,problem,1
884,problem,problem,1
885,problem,navigation,1
886,navigation,navigation,1
887,navigation,problem,1
888,problem,problem,1
889,problem,problem,1
890,problem,problem,1
891,problem,problem,1
892,problem,problem,1
893,problem,problem,1
894,problem,problem,1
895,problem,problem,1
896,problem,problem,1
897,problem,problem,1
898,problem,problem,1
899,problem,navigation,1
900,navigation,navigation,1
901,navigation,problem,1
902,problem,problem,1
903,problem,problem,1
904,problem,problem,1
905,problem,problem,1
906,problem,problem,1
907,problem,problem,1
908,problem,problem,1
909,problem,navigation,1
910,navigation,navigation,1
911,navigation,problem,1
912,problem,problem,1
913,problem,problem,1
914,problem,problem,1
915,problem,problem,1
916,problem,problem,1
917,problem,problem,1
918,problem,problem,1
