,source,target,value
877,problem,problem,1
878,problem,problem,1
879,problem,problem,1
880,problem,problem,1
881,problem,problem,1
882,problem,problem,1
883,problem,problem,1
884,problem,problem,1
885,problem,problem,1
886,problem,problem,1
887,problem,problem,1
888,problem,problem,1
889,problem,problem,1
890,problem,problem,1
891,problem,problem,1
892,problem,problem,1
893,problem,problem,1
894,problem,problem,1
895,problem,problem,1
896,problem,problem,1
897,problem,navigation,1
898,navigation,problem,1
899,problem,problem,1
900,problem,problem,1
901,problem,problem,1
902,problem,navigation,1
903,navigation,problem,1
904,problem,problem,1
905,problem,problem,1
906,problem,problem,1
907,problem,problem,1
908,problem,problem,1
909,problem,problem,1
910,problem,problem,1
911,problem,problem,1
912,problem,problem,1
913,problem,problem,1
914,problem,problem,1
915,problem,problem,1
916,problem,problem,1
917,problem,problem,1
918,problem,problem,1
919,problem,problem,1
920,problem,problem,1
921,problem,problem,1
922,problem,problem,1
923,problem,problem,1
924,problem,problem,1
925,problem,problem,1
926,problem,problem,1
927,problem,navigation,1
928,navigation,navigation,1
929,navigation,problem,1
930,problem,problem,1
931,problem,problem,1
932,problem,navigation,1
933,navigation,problem,1
934,problem,problem,1
935,problem,problem,1
936,problem,problem,1
937,problem,navigation,1
938,navigation,problem,1
939,problem,problem,1
940,problem,navigation,1
941,navigation,problem,1
942,problem,problem,1
943,problem,navigation,1
944,navigation,problem,1
945,problem,problem,1
946,problem,problem,1
947,problem,problem,1
948,problem,problem,1
949,problem,navigation,1
950,navigation,problem,1
951,problem,problem,1
952,problem,problem,1
953,problem,problem,1
954,problem,navigation,1
955,navigation,problem,1
956,problem,problem,1
957,problem,problem,1
958,problem,problem,1
959,problem,navigation,1
960,navigation,navigation,1
961,navigation,problem,1
962,problem,problem,1
963,problem,problem,1
964,problem,navigation,1
965,enrollment,navigation,1
966,navigation,navigation,1
967,navigation,navigation,1
968,navigation,navigation,1
969,navigation,navigation,1
970,navigation,navigation,1
971,navigation,navigation,1
972,navigation,navigation,1
973,navigation,navigation,1
974,navigation,navigation,1
975,navigation,navigation,1
976,navigation,navigation,1
977,navigation,navigation,1
978,navigation,navigation,1
979,navigation,navigation,1
980,navigation,navigation,1
981,navigation,navigation,1
982,navigation,navigation,1
983,navigation,navigation,1
984,navigation,navigation,1
985,navigation,navigation,1
986,navigation,navigation,1
987,navigation,navigation,1
988,navigation,navigation,1
989,navigation,problem,1
990,problem,problem,1
991,problem,problem,1
992,problem,problem,1
993,problem,problem,1
994,problem,problem,1
995,problem,navigation,1
996,navigation,problem,1
997,problem,problem,1
998,problem,problem,1
999,problem,problem,1
1000,problem,problem,1
1001,problem,problem,1
1002,problem,problem,1
1003,problem,problem,1
1004,problem,problem,1
1005,problem,problem,1
1006,problem,navigation,1
1007,navigation,problem,1
1008,problem,problem,1
1009,problem,problem,1
1010,problem,problem,1
1011,problem,problem,1
1012,problem,navigation,1
1013,navigation,problem,1
1014,problem,problem,1
1015,problem,problem,1
1016,problem,problem,1
1017,problem,navigation,1
1018,navigation,problem,1
1019,problem,problem,1
1020,problem,problem,1
1021,problem,problem,1
1022,problem,problem,1
1023,problem,navigation,1
1024,navigation,problem,1
1025,problem,problem,1
1026,problem,problem,1
1027,problem,problem,1
1028,problem,problem,1
1029,problem,problem,1
1030,problem,navigation,1
1031,navigation,problem,1
1032,problem,problem,1
1033,problem,problem,1
1034,problem,problem,1
1035,problem,problem,1
1036,problem,problem,1
1037,problem,problem,1
1038,problem,problem,1
1039,problem,problem,1
1040,problem,problem,1
1041,problem,problem,1
1042,problem,problem,1
1043,problem,problem,1
1044,problem,navigation,1
1045,navigation,problem,1
1046,problem,problem,1
1047,problem,problem,1
1048,problem,problem,1
1049,problem,problem,1
1050,problem,problem,1
1051,problem,problem,1
1052,problem,problem,1
1053,problem,problem,1
1054,problem,problem,1
1055,problem,problem,1
1056,problem,problem,1
1057,problem,problem,1
1058,problem,problem,1
1059,problem,problem,1
1060,problem,problem,1
1061,problem,problem,1
1062,problem,problem,1
1063,problem,navigation,1
1064,navigation,problem,1
1065,problem,problem,1
1066,problem,problem,1
1067,problem,problem,1
1068,problem,problem,1
1069,problem,problem,1
1070,problem,problem,1
1071,problem,problem,1
1072,problem,navigation,1
1073,navigation,problem,1
1074,problem,problem,1
1075,problem,problem,1
1076,problem,problem,1
1077,problem,problem,1
1078,problem,problem,1
1079,problem,problem,1
1080,problem,problem,1
1081,problem,navigation,1
1082,navigation,problem,1
1083,problem,problem,1
1084,problem,problem,1
1085,problem,problem,1
1086,problem,problem,1
1087,problem,problem,1
1088,problem,problem,1
1089,problem,problem,1
1090,problem,problem,1
1091,problem,problem,1
1092,problem,problem,1
1093,problem,problem,1
1094,problem,problem,1
1095,problem,problem,1
1096,problem,problem,1
1097,problem,problem,1
1098,problem,problem,1
1099,problem,navigation,1
1100,navigation,problem,1
1101,problem,problem,1
1102,problem,problem,1
1103,problem,problem,1
1104,problem,problem,1
1105,problem,problem,1
1106,problem,problem,1
1107,problem,problem,1
1108,problem,navigation,1
1109,navigation,problem,1
1110,problem,problem,1
1111,problem,problem,1
1112,problem,problem,1
1113,problem,navigation,1
1114,navigation,problem,1
1115,problem,problem,1
1116,problem,problem,1
1117,problem,problem,1
1118,problem,navigation,1
1119,navigation,problem,1
1120,problem,problem,1
1121,problem,problem,1
1122,problem,navigation,1
1123,navigation,problem,1
1124,problem,problem,1
1125,problem,problem,1
1126,problem,problem,1
1127,problem,problem,1
1128,problem,problem,1
1129,problem,problem,1
1130,problem,problem,1
1131,problem,problem,1
1132,problem,problem,1
1133,problem,problem,1
1134,problem,problem,1
1135,problem,problem,1
1136,problem,problem,1
1137,problem,problem,1
1138,problem,problem,1
1139,problem,problem,1
1140,problem,problem,1
1141,problem,problem,1
1142,problem,problem,1
1143,problem,navigation,1
1144,navigation,problem,1
1145,problem,problem,1
1146,problem,problem,1
1147,problem,navigation,1
1148,navigation,problem,1
1149,problem,problem,1
1150,problem,problem,1
1151,problem,problem,1
1152,problem,problem,1
1153,problem,problem,1
1154,problem,problem,1
1155,problem,problem,1
1156,problem,problem,1
